DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
AUS,BOG,150,1714,7201422
AUS,BOG,200,96,782
AUS,BOG,293,52,293
AUS,BOG,3,3,96
AUS,BOG,1650,313,5
AUS,BOG,1000,180,753661
AUS,BOG,20800,7687,75
AUS,BOG,16,1264,29805
AUS,BOG,5,750,3045622
AUS,BOG,4450,801,3386139
AUS,BOG,49,49,5
AUS,BOG,0,2,0
AUS,BOG,35675,1378,8596
AUS,BOG,640,135,896
AUS,BOG,630,32,41
AUS,BOG,1725,987,2987
AUS,BOG,20700,645,2958
AUS,BOG,2400,202,504
AUS,BOG,1340,226,1130
AUS,BOG,47,55,47
AUS,BOG,24,80,4
AUS,BOG,216308,5295,52742
AUS,BOG,28500,244,5890
AUS,BOG,45000,388,8855
AUS,BOG,1620,72,820
AUS,BOG,5670,180,1795
AUS,BOG,92,1325,5581562
AUS,BOG,20775,4729,20014696
AUS,BOG,107,697,3038501
AUS,BOG,7750,1472,5
AUS,BOG,450,292,5
AUS,BOG,100,363986,72
AUS,BOG,744,18677,67
AUT,BOG,12480,443,2121
AUT,BOG,34560,1094,5875
AUT,BOG,19152,3700,96
AUT,BOG,72240,1639,7
AUT,BOG,520,25,68
AUT,BOG,22890,616,25
AUT,BOG,28960,1037,4614
AUT,BOG,97860,2485,76
AUT,BOG,240,6,72
AUT,BOG,16270,176,64
AUT,BOG,175,3463,25
AZE,BOG,9140,5970,97
AZE,BOG,64,153,6
AZE,BOG,10450,1815,5
AZE,BOG,4,4549,72
BHS,BOG,1,1000,4187010
BHS,BOG,8,1,57
BHS,BOG,124,24,34
BHS,BOG,927,181,99
BHS,BOG,8,1,57
BHS,BOG,5,0,98
BHS,BOG,1911,375,17
BHS,BOG,96,18,85
BHS,BOG,13,22,9267
BHR,BOG,300,9,96
BHR,BOG,500,337,3
BHR,BOG,220,13,83
BHR,BOG,3,3,52
BHR,BOG,3612,2210,4
BHR,BOG,3455,468,2051
BHR,BOG,240,16,67
BHR,BOG,1010,31,98
BHR,BOG,4,92,4
BHR,BOG,12,12,34
BHR,BOG,6,6,12
BHR,BOG,12,12,64
BHR,BOG,174,26,174
BHR,BOG,15,15,76
BHR,BOG,9,89,9
BHR,BOG,18000,4410,18751716
BHR,BOG,18700,2949,11954538
BHR,BOG,11850,210,1422
BHR,BOG,54,6,54
BHR,BOG,3400,189,1022
BHR,BOG,10625,2656,25
BHR,BOG,101225,1124,16090
BHR,BOG,750,8,90
BHR,BOG,2600,56,520
BHR,BOG,2920,64,807
BHR,BOG,192,192,2429
BRB,BOG,26600,125,35
BRB,BOG,27000,27,38
BRB,BOG,30000,23,9
BRB,BOG,21000,196,35
BRB,BOG,280,5325,45
BRB,BOG,105,39,88
BRB,BOG,431,163,68
BRB,BOG,959,364,2
BRB,BOG,36,13,67
BRB,BOG,723,274,57
BEL,BOG,60,60,236
BEL,BOG,36,242,82
BEL,BOG,380,380,2582
BEL,BOG,99,99,302
BEL,BOG,139,65,139
BEL,BOG,207,207,1223
BEL,BOG,350,350,1417
BEL,BOG,1,40,164824
BEL,BOG,45,1729,16455
BEL,BOG,1400,7524,31974818
BEL,BOG,1160,1160,8700
BEL,BOG,140,140,1190
BEL,BOG,756,3993,98
BEL,BOG,155,7776,32041941
BEL,BOG,348,98,37
BLZ,BOG,0,72,0
BLZ,BOG,9,75,9
BLZ,BOG,1,55,1
BLZ,BOG,12,16,12
BLZ,BOG,514,12,514
BLZ,BOG,15,94,15
BLZ,BOG,246,2,246
BLZ,BOG,2,45,1617
BLR,BOG,32458,32523,12
BLR,BOG,72650,6133,25064
BLR,BOG,39500,1136,91
BLR,BOG,66500,3268,22300
BLR,BOG,2650,68,500
BLR,BOG,85600,6626,16432
BLR,BOG,7950,68,2763
BLR,BOG,10000,735,1900
BLR,BOG,1120,461,3464
BLR,BOG,104,76,274
BLR,BOG,12850,995,4495
BLR,BOG,1750,68,332
BLR,BOG,6400,68,1212
BLR,BOG,1600,68,598
BLR,BOG,400,2,5
BLR,BOG,12700,1612,9
BLR,BOG,11225,188,3632
BLR,BOG,7850,52,1012
BLR,BOG,25350,236,2892
BLR,BOG,12000,75,1632
BLR,BOG,500,4,0
BLR,BOG,246,60,446
BLR,BOG,2,6,2
BOL,BOG,164,11,56
BOL,BOG,683,47,51
BOL,BOG,160,20,35
BOL,BOG,250,35,52
BOL,BOG,860,52,62
BOL,BOG,180,12,6
BOL,BOG,500,33,15
BOL,BOG,180,12,66
BOL,BOG,253,17,21
BOL,BOG,340,45,68
BOL,BOG,180,23,3
BOL,BOG,700,80,7
BOL,BOG,160,11,84
BOL,BOG,250,29,98
BOL,BOG,180,25,61
BOL,BOG,643,163,7
BOL,BOG,170,43,28
BOL,BOG,50,12,73
BOL,BOG,172,26660,109855729
BOL,BOG,89,18,65
BOL,BOG,99,20,75
BOL,BOG,32,6,71
BOL,BOG,10,2,1
BOL,BOG,102,21,38
BOL,BOG,198,41,5
BOL,BOG,66,13,83
BOL,BOG,13,2,72
BOL,BOG,132,27,67
BOL,BOG,10,2,1
BOL,BOG,45,9,43
BOL,BOG,15,3,14
BOL,BOG,250,52,4
BOL,BOG,160,6,96
BOL,BOG,1666,72,46
BOL,BOG,204,8,87
BOL,BOG,19,0,83
BOL,BOG,18,0,78
BOL,BOG,149,31,1
BOL,BOG,12,2,5
BOL,BOG,38,7,91
BOL,BOG,65,13,53
BOL,BOG,39,8,12
BOL,BOG,32,6,66
BOL,BOG,90,18,73
BOL,BOG,239,49,74
BOL,BOG,33,6,87
BOL,BOG,245,50,99
BOL,BOG,101,2,577
BOL,BOG,319,66,39
BOL,BOG,48,9,99
BOL,BOG,266,55,36
BOL,BOG,11,2,29
BOL,BOG,74,15,4
BOL,BOG,59,12,28
BOL,BOG,4,0,83
BOL,BOG,38,7,91
BOL,BOG,20,4,16
BOL,BOG,85400,165,49
BOL,BOG,58404,113,17
BOL,BOG,319,13,51
BOL,BOG,1535,48,243
BOL,BOG,149,46,16
BOL,BOG,298,23,33
BOL,BOG,902,8,128
BOL,BOG,650,59,85
BOL,BOG,28,85,3
BOL,BOG,110,16,13
BOL,BOG,164,32,19
BOL,BOG,13,58,1
BOL,BOG,175,57,19
BOL,BOG,4,77,0
BOL,BOG,180,71,180
BOL,BOG,110,73,110
BOL,BOG,397,29,397
BOL,BOG,1049,33,1049
BOL,BOG,135,135,15572
BOL,BOG,1729,95,1729
BOL,BOG,280,87,280
BOL,BOG,100,3903,15821825
BOL,BOG,43,47,43
BOL,BOG,852,51,852
BOL,BOG,146,8,146
BOL,BOG,70,73,70
BOL,BOG,77,77,34
BOL,BOG,19,77,19
BOL,BOG,2132,6,2132
BOL,BOG,2816,11,2816
BOL,BOG,1648,23,1648
BOL,BOG,2209,12,2209
BOL,BOG,969,3,969
BOL,BOG,220,5,27000
BOL,BOG,77,8,9
BOL,BOG,4,1,0
BOL,BOG,95,15,28
BOL,BOG,99,17,22
BOL,BOG,285,45,83
BOL,BOG,5,0,8
BOL,BOG,270,56,31
BOL,BOG,98,15,76
BOL,BOG,2177,350,8
BOL,BOG,363,58,37
BOL,BOG,176,28,3
BOL,BOG,64,10,29
BOL,BOG,1867,304,61
BOL,BOG,504,81,5
BOL,BOG,96,15,91
BOL,BOG,28,4,5
BOL,BOG,16,3,52
BOL,BOG,244,39,24
BOL,BOG,8,1,29
BOL,BOG,126,20,27
BOL,BOG,120,5,1000
BOL,BOG,98,98,35
BOL,BOG,4,0,76
BOL,BOG,13,2,46
BOL,BOG,26,4,93
BOL,BOG,15,2,84
BOL,BOG,300,63,54
BOL,BOG,289,57,18
BOL,BOG,57,10,8
BOL,BOG,92,19,88
BOL,BOG,41,7,77
BOL,BOG,812,154,57
BOL,BOG,236,45,1
BOL,BOG,45,9,22
BOL,BOG,148,33,15
BOL,BOG,84,18,19
BOL,BOG,825,162,16
BOL,BOG,532,103,36
BOL,BOG,107,22,7
BOL,BOG,17,3,81
BOL,BOG,314,60,16
BOL,BOG,7,1,57
BOL,BOG,178,36,8
BOL,BOG,33,6,25
BOL,BOG,8,1,52
BOL,BOG,218,48,44
BOL,BOG,46,8,87
BOL,BOG,29,5,5
BOL,BOG,161,51,63
BOL,BOG,25,9,24
BOL,BOG,20,396,55
BOL,BOG,3,26,3
BOL,BOG,3,4,42
BOL,BOG,1,0,32
BOL,BOG,2,0,8
BOL,BOG,5,69,5
BOL,BOG,3,68,3
BOL,BOG,180,5130,21314842
BOL,BOG,81,121,5
BOL,BOG,151,226,5
BOL,BOG,15,77,15
BOL,BOG,30,30,732
BOL,BOG,222,222,3710
BOL,BOG,382,16,382
BOL,BOG,28,28,1471
BOL,BOG,336,336,6
BOL,BOG,100,5300,23249298
BOL,BOG,1,0,52
BOL,BOG,586,228,54
BOL,BOG,1,0,52
BOL,BOG,1,0,52
BOL,BOG,5,2,59
BOL,BOG,504,233,98
BOL,BOG,3,1,56
BOL,BOG,1,0,52
BOL,BOG,157,157,25
BOL,BOG,20000,3388,8
BOL,BOG,77,18,4
BOL,BOG,42,7,43
BOL,BOG,40,7,5
BOL,BOG,130,17,5
BOL,BOG,52,52,88
BOL,BOG,312,1978,32
BOL,BOG,1,1,36
BOL,BOG,2180,57,2180
BOL,BOG,151,63,151
BOL,BOG,142,63,142
BOL,BOG,30,87,30
BOL,BOG,976,8,976
BOL,BOG,262,8,262
BOL,BOG,115,71,115
BOL,BOG,853,853,12
BOL,BOG,826,35,826
BOL,BOG,149,38,149
BOL,BOG,410,73,410
BOL,BOG,202,91,202
BOL,BOG,151,47,151
BOL,BOG,173,76,173
BOL,BOG,5267,66,383
BOL,BOG,92,27,7
BOL,BOG,5,1,28
BOL,BOG,180,50,18
BOL,BOG,7,2,2
BOL,BOG,5,0,87
BOL,BOG,105,19,96
BOL,BOG,5,1,5
BOL,BOG,229,26,5
BOL,BOG,260,33,5
BOL,BOG,98,16,66
BOL,BOG,45,9,54
BOL,BOG,1201,138,9
BOL,BOG,478,79,8
BOL,BOG,274,30,89
BOL,BOG,23,10,6
BOL,BOG,124,28,84
BOL,BOG,248,120,12
BOL,BOG,58,8,4
BOL,BOG,97,21,25
BOL,BOG,7,1,59
BOL,BOG,70,71,70
BOL,BOG,2,0,21
BOL,BOG,21,87,21
BOL,BOG,6,84,6
BOL,BOG,99,5346,72
BOL,BOG,20,31,20
BOL,BOG,124,84,124
BOL,BOG,200,76,200
BOL,BOG,22,5,22
BOL,BOG,26,88,26
BOL,BOG,420,261,3
BOL,BOG,45,45,98
BOL,BOG,1337,7329,3
BOL,BOG,66,1,3
BOL,BOG,513,4,513
BOL,BOG,14,14,491
BOL,BOG,7,72,7
BOL,BOG,153,3,153
BOL,BOG,4,21,47
BOL,BOG,1,37,1
BOL,BOG,12,16,71
BOL,BOG,2,29862,91
BOL,BOG,24,1956,24
BOL,BOG,737,6235,39
BOL,BOG,216,216,84
BOL,BOG,682,38,436856
BOL,BOG,0,44,0
BOL,BOG,18,3,7
BOL,BOG,0,22,0
BOL,BOG,38,7,8
BOL,BOG,2,65,2
BOL,BOG,9,1,85
BOL,BOG,27,5,54
BOL,BOG,5,1,3
BOL,BOG,170,72,6120
BOL,BUN,7878,52,7878
BOL,BUN,199,65,199
BOL,BUN,176,99,176
BOL,BUN,26,13,26
BOL,BUN,3649,49,3649
BOL,BUN,25,59,25
BOL,BUN,658,22,658
BOL,BUN,145,59,145
BOL,BUN,763,46,763
BOL,BUN,51,44,51
BOL,BUN,5,6,5
BOL,BUN,1097,11,1097
BOL,BUN,421,93,421
BOL,BUN,510,25,510
BOL,BUN,953,41,953
BOL,BUN,34,96,34
BOL,BUN,2,76,2
BOL,BUN,3,3,81
BOL,BUN,8,58,8
BOL,BUN,10,0,1
BOL,BUN,62,0,67
BRA,BOG,1000,10934,46075547
BRA,BOG,21000,28623,81
BRA,BOG,13500,935,3206
BRA,BOG,45925,3107,19946
BRA,BOG,3600,114,396
BRA,BOG,25375,1620,7195
BRA,BOG,24000,683,2688
BRA,BOG,23400,735,2116
BRA,BOG,100,100,440
BRA,BOG,252,252,1134
BRA,BOG,164,164,8
BRA,BOG,2,1973,5
BRA,BOG,20,5,776
BRA,BOG,1,2,16019
BRA,BOG,102,75,9156
BRA,BOG,18,5125,3
BRA,BOG,2066,2066,77
BRA,BOG,720,2673,2
BRA,BOG,51,86,49
BRA,BOG,1323,42744,27
BRA,BOG,77280,6970,46
BRA,BOG,1,44872,19
BRA,BOG,198,198,540
BRA,BOG,2814,2814,12295
BRA,BOG,294,294,802
BRA,BOG,3897,3897,15192
BRA,BOG,4381,4381,14174
BRA,BOG,1008,1780,74
BRA,BOG,1105,35,1105
BRA,BOG,8740,64,8740
BRA,BOG,5023,550,83
BRA,BOG,24000,2712,11464681
BRA,BOG,9200,1840,7823845
BRA,BOG,160,160,616
BRA,BOG,75,75,351
BRA,BOG,3630,3630,12410
BRA,BOG,120,2430,10280382
BRA,BOG,300,10377,44091873
BRA,BOG,39,39,9
BRA,BOG,2,9,878
BRA,BOG,3,2,25
BRA,BOG,83,61,3
BRA,BOG,109,62,6519
BRA,BOG,1,0,45
BRA,BOG,375,6,12176
BRA,BOG,20,1,1
BRA,BOG,60,1296,5384802
BRA,BOG,2500,1740,25
BRA,BOG,1107,1107,45
BRA,BOG,3,9,62
BRA,BOG,1,3,88
BRA,BOG,1,50,203041
BRA,BOG,0,1,0
BRA,BOG,2,97,2
BRA,BOG,500,2,44
BRA,BOG,8,55,4
BRA,BOG,4,4,21
BRA,BOG,0,11,0
BRA,BOG,36,0,18
BRA,BOG,0,52,0
BRA,BOG,0,37,134
BRA,BOG,0,71,782
BRA,BOG,99,99,560
BRA,BOG,1000,1000,1887
BRA,BOG,8,0,6
BRA,BOG,0,0,3
BRA,BOG,2759,47880,202181594
BRA,BOG,337,31253,97
BRA,BOG,1,7,1
BRA,BOG,19700,422,6842
BRA,BOG,1248,1248,6480
BRA,BOG,14,12,14
BRA,BOG,48,48,128
BRA,BOG,2352,2352,10930
BRA,BOG,3177,27,3177
BRA,BOG,2500,57300,236111526
BRA,BOG,2,0,4
BRA,BOG,5,0,25
BRA,BOG,1481,275,4
BRA,BOG,2,24,578
BRA,BOG,2,20,68
BRA,BOG,4000,15240,64754760
BRA,BOG,17950,5770,24398751
